doi,abstract,participatory_method,participatory_method_rationale,green_infrastructure_intervention,green_infrastructure_rationale,rating
10.3390/buildings15030446,"This study began from the assumption that community self-organization, characterized by independent action without external control, could be a suitable approach to developing green infrastructure and strengthening climate resilience in urban neighborhoods in Serbia. The study employed a mixed methods approach to verify this assumption, combining a technical case study and citizen survey analysis. Technical simulations demonstrated that self-organized community interventions on green infrastructure could contribute to climate resilience, even in neighborhoods with unfavorable conditions. However, the survey uncovered significant social constraints that cannot be resolved within the community, including a perceived lack of internal capacity; belief in the primacy of external actors; moderate cohesion level; lack of community platforms; limited understanding of the interconnections between resilience, climate change, and the role of green infrastructure; limited environmental literacy; and unclear collective action benefits. Based on these findings, the study proposed a multi-level and multi-phase model for improving neighborhood green infrastructure. The model emphasizes participatory citizen collaboration and applies to the current context of Serbian urban neighborhoods.",true,Mixed methods including citizen surveys and simulations; explicit emphasis on participatory citizen collaboration in a multi-level GI model,true,Investigates self-organized community GI interventions and a multi-level model to improve neighborhood green infrastructure for climate resilience,3
10.12775/EQ.2025.008,"Karachi is a metropolitan city lying on the coastline of the Arabian Sea facing the effects of climate change. Weather patterns are changing and in a transition stage as the world is facing weather variability issues, due to climate change. The existing study was performed based on the real-time rainfall in Karachi held on January 29, 30, February 2, 3, and 4th, 2024. January and February are the month of winter in Pakistan and, in the winter, such continuous rainfall spells have never been witnessed by Karachiites for a long time specifically in February rainfall has never been witnessed on such a large scale. Due to such a long dry and cold season, Karachiites used to face health problems related to Air Quality in winter. Such heavy rain changes the environmental conditions in the winter consequently people feel fresh due to clean air. Pollutants i.e., AQI, PM2.5, and SO2 have been monitored on selected days of 36 locations in Karachi. Interpolation techniques have been used in mapping. Results revealed that before the rain, in the air, all observed pollutants existed in large quantities i.e., AQI, PM2.5, and, SO2 ranged from 158.1-310.5, 70.1-260.5 mu g/m3, and 113.5-246.9 ppbV respectively declines dramatically i.e., 69.05- 111.9, 48.3-136.8 5 mu g/m3, and 50.04-99.9 ppbV after the rain. Results are analyzed through GIS analysis and further tested through Anova statistical analysis. Tree plantation and enhancing green cover can somehow reduce the contamination level of air. Therefore, instead of waiting for rain which does not usually happen in winter. Karachiites should participate in tree plantation activities/green infrastructure to clean the environment and reduce of health issues of Karachiites.",false,"No participatory method reported; study relies on GIS interpolation and statistical analysis of pollutant data with policy recommendations, not stakeholder involvement in the intervention",true,"Discusses tree plantation and expansion of green cover as potential interventions to reduce air pollution (green infrastructure), though not implemented in the study",1
10.1016/j.landusepol.2024.107385,"Urban and peri-urban forests (UPUFs) are essential components of urban landscapes that offer multiple benefits to local communities, above all to those who live in large cities. This realization has fueled the interest of the scientific community in understanding citizens' attitudes and perceptions towards UPUFs, focusing on the diverse ecosystem services they provide in social and environmental terms. However, less attention has been paid to the citizens' perceptions and attitudes about UPUFs in relation to their willingness to participate in their governance. This quantitative study aims to address this gap by identifying the main factors that affect citizens' participation in UPUFs governance. Conducted in large Italian Metropolitan Functional Urban Areas, composed of a city and its commuting zone, with a population above 500,000 inhabitants, this study provides valuable insights into citizens' willingness to participate in UPUFs governance. Results indicate that citizens' sociodemographic factors (especially education, age, and income) and the frequency of visits impact their perception of UPUFs. High positive perceptions of environmental quality and low perceptions of the negative impact of UPUFs promote active participation in governance, especially among young citizens with heightened green space sensitivity, among those dissatisfied with current green space management and those advocating for effective communication campaigns. These findings can provide a practicable scientific reference for municipalities to refine their corresponding decision-making and communication, and to devise effective urban forest programs.",false,The study uses a quantitative survey to assess factors influencing citizens' participation in governance; it does not report participatory design/implementation with stakeholders in the GI intervention itself.,true,"Focus on governance and participation in urban forest programs, relating to urban greening planning/policy rather than a single on-the-ground GI installation.",1
10.3390/buildings15020221,"Urban green development is crucial for citizen well-being and serves as a key pillar of sustainable development strategies. Collaborative governance mechanisms help address management, technical, and financial challenges in urban green development. The renovation of old residential communities within the context of urban renewal is becoming a focal point in the development of Chinese cities. To promote green development in the renovation of old residential communities in China, this study introduces the collaborative governance mechanism of government-social capital cooperation and identifies the factors influencing social capital participation in green development. A hybrid approach is proposed, combining grounded theory, IGAHP subjective weighting, CRITIC objective weighting, game theory, and ISM. This approach is applied to identify, evaluate, and analyze the factors driving social capital participation in the green renovation of old residential communities. The results indicate that government incentives and constraints, policy support, the costs and benefits of implementing green renovation, the development of green renovation technologies, and construction technical abilities significantly influence the decision-making of social capital. The findings provide theoretical support for decision-making by governments and social capital in participating in the green renovation of old residential communities and offer a methodological reference for analyzing social capital participation in other urban green development projects and for further policy formulation. Future research should focus on examining social capital involvement in other types of urban green development projects.",false,"No explicit participatory methods described; methodology relies on grounded theory, weighting techniques, game theory, and ISM, with a governance/participation focus rather than stakeholder-engaged research processes.",true,Green renovation of old residential communities constitutes an urban greening intervention within a governance framework for social capital participation.,1
10.1016/j.foar.2024.06.009,"This paper innovatively adopts an interdisciplinary method, which is urban design, combined with social investigation, statistical analysis, and case analysis. In this study, 1350 residents in 45 blocks of Lansing were selected as samples to investigate the related issues of social capital, which include safety, contact with others, and sense of support for people living in certain areas. There are two ways to measure the distance from the center of the community to the nearest green space. One is the straight distance, while the other is path distance. Through statistical analysis, the path distance of less than 250 m is also added into the variables. The results overturned the hypotheses and showed that the distance of green space was positively correlated with social capital. The residents of Lansing may prefer the distant green space for recreational activities and create a way to participate in civic duty. The research can not only provide a basis for Lansing to formulate the appropriate resource management rules and norms and promote the accumulation of residents' social capital, but also provide a reference for urban green space planning in other areas. At the same time, in the context of developing a smart city and constructing a new public system, we hope that the better optimization of the green space allocation will be achieved. (c) 2025 The Author(s). Publishing services by Elsevier B.V. on behalf of Higher Education Press and KeAi. This is an open access article under the CC BY-NC-ND license (http:// creativecommons.org/licenses/by-nc-nd/4.0/).",false,"No participatory methods described; uses interdisciplinary design, social investigation, and statistical analysis with a fixed sample of residents.",true,Examines green space allocation/planning (green infrastructure) and its relationship to social capital in an urban renewal context.,1
10.1016/j.ufug.2025.128725,"Linear green spaces, composed of street trees, shrubs, and grass, provide diverse opportunities for human-nature interaction. However, current research tends to visualize street greenery from a single perspective, such as images or planar analysis and neglects pedestrian-scale street tree visual analytics. Space syntax relies on precise urban context data input, and street view image analysis does not cover sidewalk greenery visibility. This study integrates green visibility analysis based on space syntax's Visibility Graph Analysis (VGA) with the Pedestrian Green View Index (PGVI) calculated from street imagery to propose a comprehensive evaluation model for pedestrian-scale green visibility. To validate the accuracy of the methods, we established a participation scoring system involving 183 volunteers to collect their green perceptions of nine types of streets in the City of London, UK. The study reveals a complex relationship between VGA and PGVI, with VGA providing a robust, geometricbased visibility measure and PGVI offering a qualitative, human-centric perspective on urban greenery. Our findings indicate a significant correlation between PGVI and human evaluations, affirming PGVI's potential to reflect pedestrian experiences, while highlighting the limitations of VGA in capturing the nuanced, multidimensional aspects of human perception. This underscores the necessity of integrating human feedback in urban planning tools to ensure a comprehensive understanding of green spaces. Future research should enhance methodological rigor by incorporating temporal and seasonal dynamics, expanding datasets, and exploring the interplay between green visibility and other environmental factors.",true,Involves 183 volunteers in a participation scoring system to collect perceptions of street greenery; participatory data collection embedded in the methodology.,false,Study focuses on evaluating pedestrian-scale green visibility using VGA and PGVI; does not describe implementing or testing a new greening intervention.,1
10.1016/j.landurbplan.2024.105249,"Climate-driven hazards, such as extreme heat or precipitation, are threatening the current and future livability of New York City (NYC) and disproportionately affecting low-income communities and communities of color. To envision future climate resilience, government stakeholders and researchers co-produced future scenarios for 2100 in response to climate hazards for NYC during participatory workshops in Fall 2021. A commonly co- produced strategy included urban green infrastructure (UGI) because of its potential to retain runoff and provide cooling benefits. We ask, what are the potential environmental justice implications of ecosystem services provisioned from UGI distribution in the co-produced NYC future scenario compared to a business-as-usual future scenario? To analyze potential outcomes and tradeoffs, we integrated spatially-explicit UGI strategies into simulated land use and cover models. We then assessed two ecosystem services (flood and heat mitigation) using the spatially-explicit tool Integrated Valuation of Ecosystem Services and Tradeoffs (InVEST). We explored potential environmental justice implications by comparing the provision of ecosystem services to sociodemographic indicators within census block groups between scenarios. Presently, ecosystem services are disproportionately lower for communities of color, including predominantly Asian, Black/African-American, and Hispanic/Latino communities. In future scenarios we found ecosystem service provision will decrease within these communities under business-as-usual land development. The future scenario co-produced for extreme heat resilience, however, shows an increase in overall provisioning across NYC, including in neighborhoods with a high proportion of people of color. Our results show that co-produced future scenarios can be used to inform strategic future planning for inclusive adaptation decisions to improve future climate resilience and justice.",true,Co-produced future scenarios through participatory workshops with government stakeholders and researchers,true,"Incorporation and evaluation of urban green infrastructure distribution in co-produced NYC scenarios, assessing flood/heat mitigation and environmental justice implications using InVEST",3
10.1016/j.jenvman.2024.123475,"Tree planting schemes are implemented to achieve social, cultural, economic, and environmental goals. Various frameworks and guidelines outline good governance practices to aid the achievement of these goals. However, there is rarely sufficient monitoring and reporting of tree planting schemes for it to be possible to determine whether schemes adhere to good governance practices. Here, we assessed the performance of 16 tree planting schemes in Ethiopia using focus group discussions with local communities, interviews with scheme managers and beneficiaries, remote sensing, and reviewing official documentation. We used a qualitative comparative case study approach to analyse (1) implementation adherence to three standard tools and guidelines, (2) legitimacy of schemes through beneficiary satisfaction, and (3) delivery of socioeconomic and environmental outputs. We found that most tree planting schemes did not adhere to the implementation guidelines but that those that did perform better by securing legitimacy and delivering their targeted outputs. We contend that an integrated performance assessment is vital to check whether a tree planting scheme has good governance practice and ultimately is sustainable.",true,"Used focus group discussions with local communities and interviews with scheme managers and beneficiaries, indicating participatory data collection and stakeholder engagement.",true,"Assesses tree planting schemes as urban green infrastructure and their governance, monitoring, and outcomes.",3
10.3389/fenvs.2025.1520934,"In the current climate change scenario, Mediterranean cities face heatwaves and reduced availability of freshwater alternated with intense precipitation events in short periods. The demand for water, especially for urban and tourism purposes, is rising, particularly in coastal cities. The importance of integrating nature into cities, particularly trees, has been studied for its benefits in adapting to climate change and improving quality of life. However, water scarcity in cities remains a limiting factor for ensuring the water needs of urban trees and, consequently, the ecosystem services they provide. In this study, we quantified the ecosystem services (CO2 sequestration and storage, O2 production, air pollutants removal, and hydrological effects as transpiration, water intercepted and avoided runoff) provided by urban vegetation in Faro (Algarve, Portugal), with a detailed analysis of three green spaces. We analyzed the importance given to green spaces and the community preferences. Rainwater harvesting was studied as an alternative water source for irrigation and its advantages for the urban water cycle. We found that urban vegetation across the city sequesters 1.09 x 103 t. yr-1 CO2, stores 4.01 x 103 t C, contributes to air pollutant removal (CO = 114; O3 = 3.56 x 103; NO2 = 313; SO2 = 224; PM10 = 872; PM2.5 = 70) kg. yr-1, and prevents 861 m3. yr-1 of surface runoff. In general, people inquired use to visit and value the city's green spaces, enjoy activities in nature, have definite preferences regarding green spaces, and are available to suggest actions to improve these spaces. It was confirmed that in order to maintain urban green spaces and the ecosystem services that their vegetation provides to the community, rainwater harvesting is of utmost relevance representing a reduction in drinking water for irrigation of 4.20 x 103 m3. yr-1 in the three studied green spaces.",,The abstract mentions community preferences but does not specify participatory methods used; unclear if participatory methods were employed.,true,Analyzes urban vegetation ecosystem services and rainwater harvesting as a green infrastructure/water management strategy.,1
10.3390/atmos16030258,"Intensifying heat from warming climates regularly concentrates in urban areas lacking green infrastructure in the form of green space, vegetation, and ample tree canopy cover. Nature-based interventions in older U.S. city cores can help minimize the urban heat island effect, yet neighborhoods targeted for cooling interventions may remain outside the decisional processes through which change affects their communities. This translational research seeks to address health disparities originating from the absence of neighborhood-level vegetation in core urban areas, with a focus on tree canopy cover to mitigate human susceptibility to extreme heat exposure. The development of LiDAR-based imagery enables communities to visualize the proposed greening over time and across seasons of actual neighborhood streets, thus becoming an effective communications tool in community-engaged research. These tools serve as an example of how visualization strategies can initiate unbiased discussion of proposed interventions, serve as an educational vehicle around the health impacts of climate change, and invite distributional and participatory equity for residents of low-income, nature-poor neighborhoods.",true,"Community-engaged research with LiDAR-based visualization to discuss proposed greening and promote participatory equity in low-income, nature-poor neighborhoods",true,"Focus on neighborhood-level green space interventions (tree canopy, greening) supported by visualization tools to facilitate participatory planning",3
10.1080/17535069.2024.2313211,"This article explores the conceptualisation and applicability of nature-based solutions (NBS) in the semi-arid context of Amman, Jordan. Through a Delphi survey, interviews and literature review, it investigates local experts' views, concluding that NBS are a viable approach, even in context of water scarcity and high urban temperatures. Our results advocate for a paradigm shift towards a balanced relationship between urbanisation and nature, the integration of nature-based thinking into educational systems and continuous development and training for planners and local officers. Cross-sector collaboration, a solid participatory framework, and financial mechanisms for pilot cases are essential for this transformative shift.",true,Delphi survey and interviews with local experts indicate engagement and stakeholder input in assessing NBS applicability.,true,"Investigates applicability of nature-based solutions (a form of green infrastructure) for Amman, including plans for pilot cases and cross-sector collaboration.",3
10.3390/s25030748,"Urban green-blue spaces (UGBS) are increasingly recognized for their benefits to physical and mental well-being. However, research on real-time gender-specific emotional responses to UGBS remains limited. To address this gap, a dual-method approach combining facial expression recognition (FER) and self-reported measures to investigate gender differences in real-time emotional evaluations of UGBS was developed. Using static images from Google Street View as stimuli, a self-reporting experiment involving 108 participants provided insights into subjective emotional experiences. Subsequently, a FER experiment, utilizing 360-degree video stimuli, captured over two million data points, validating the feasibility and advantages of real-time emotion monitoring. The findings revealed distinct gender-specific emotional patterns: women experienced stronger pleasant emotions and preferred scenes evoking higher arousal, while men demonstrated sharper responses and rated scenes with peak valence emotions more favorably. Grass elicited relaxation and delight in women and arousal in men, whereas blue spaces induced calmness across genders, with men reporting greater relaxation as water content increased. The study underscores the potential of FER technology in assessing real-time emotional responses, providing actionable insights for inclusive urban planning. By integrating advanced tools and participatory design approaches, urban planners can develop strategies that enhance emotional well-being and create livable cities that support diverse user needs.",false,No explicit participatory method used; study is an experimental assessment of emotions toward urban green-blue spaces and suggests participatory design for future work,false,Study analyzes emotional responses to existing urban green-blue spaces rather than implementing or evaluating a new GI intervention,1
10.3390/environments12010005,"This study investigates the potential of biochar production from urban pruning waste as a sustainable solution within a circular economy framework. Urban green waste, often underutilized, typically increases landfill burden and greenhouse gas emissions. Converting pruning waste into biochar reduces landfill reliance while enabling stable carbon sequestration. Utilizing the circular triple-layered business model canvas (CTLBMC), biochar's impact is evaluated across economic, environmental, and social dimensions. This structured analysis is based on a theoretical framework and uses secondary data to illustrate the model's applicability. As a result of the conducted studies, it was found that biochar derived from urban green waste not only improves soil phytotoxicity and enables long-term carbon sequestration, but also offers economic benefits, including municipal cost savings in waste management and diversified revenue streams from biochar sales. Socially, biochar production promotes community engagement in sustainable practices and supports urban greening initiatives, enhancing local ecosystems. The findings suggest that biochar production, assessed through the CTLBMC framework, represents a viable circular business model. This approach provides significant environmental, economic, and social benefits over conventional disposal, offering valuable insights for policymakers, waste management professionals, and urban planners advancing circular economy solutions.",false,"Uses secondary data and a theoretical framework; no participatory data collection, stakeholder engagement, or participatory design described.",true,"Biochar production from urban pruning waste improves soil health and supports urban greening initiatives, representing a circular-economy-based GI intervention",1
10.3389/frwa.2024.1504492,"Rampant urbanization and undervaluing of the natural ecosystem have detrimental impacts on urban spaces - increased flooding risk, increased air and water pollution, water stress, resource inefficiency, loss of biodiversity, and increased risk of ill health. Climate change further exacerbates the adverse impacts of urbanization. Despite the importance of the natural ecosystem, the blue and green spaces of the cities in India have drastically decreased. The present study highlights the degrading natural ecosystem, the negative impacts, and the need for resilience in Indian cities. Eco-centric approaches like nature-based solutions (NBS) are closely related to sustainability and resilience, offering a more efficient and cost-effective approach to urban development than traditional approaches. The paper explores the concept of NBS, focusing on ecosystem services as a `living' and `adaptable' tool to make cities resilient and sustainable with many regional implementations. It also focuses on the role of NBS in achieving the United Nations' Sustainable Development Goals (SDGs). The paper critically analyses the five notable NBS projects from different countries (USA, Canada, The Netherlands, China, and Australia) and further addresses the viabilities for NBS intervention in Indian cities. It is observed that the successful adaptation of NBS in urban development necessitates eco-centric policies, collaborative research, adaptive management practices, community engagement, and a strong emphasis on a multi-benefit approach. A proactive focus on ecosystem services is strongly recommended for Indian cities, which includes raising an understanding of the value of nature, introducing NBS at the planning stage, and encouraging investment in ecosystem-based approaches.",,The abstract discusses community engagement conceptually but does not specify participatory methods or data collection processes.,true,Focus on nature-based solutions (NBS) as urban green infrastructure and their viability in Indian cities.,1
